,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
freon,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
percoset,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
methcathinone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
selegiline,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
doet,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
endogenous,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
benzodiazapines,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
fluoxetine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
harmaline,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
pseudoephedrine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
amanita,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mirapex,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
monkshood,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
methlyone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
breathwork,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
gum,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
clozapine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
red,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
guiding,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
moclobemide,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
propane,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
poppy,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dip,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mdpr,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
wellbutrin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
obtusifolia,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
remeron,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
phenibut,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
tea,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
acacia,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
lavender,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
pulse,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
carbogen,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
pma,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
etizolam,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
kratom,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
cactus,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
blue,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
drill,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
tarragon,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
bdb,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
unripe,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
barbiturate,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
caffeine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
hoasca,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
alprazolam,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
bipolar,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
indian,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
cubensis,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
huperzine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
catuaba,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
synthetic,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
hash,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
iboga,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
isobutane,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
met,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
damania,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
chamomile,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
changa,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dill,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
clorazepate,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
chloroethane,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
kanna,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mdma,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
zacatechichi,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
dmmda,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
base,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
cinnamon,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
bod,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
thorazine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
massage,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
clonidine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
nitrous,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
vasopressin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
seroquel,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
cebil,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
cocaine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
trazodone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
sweating,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
albuterol,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
music,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
bz,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
spike,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
det,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
pregabalin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
khat,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
aspirin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
linden,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
diamond,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
chlorpromazine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
