,prior,marginal,conditional_probability,source,percentile,p_value,bh_thresh,bayes ratio
3081,psychedelic,anesthetic,2.8092846858868558e-05,dd,0.9842673059634403,0.016032364399160923,0.04921336529817202,8.006405124099278e-05
3054,stimulants,anesthetic,2.8092846858868558e-05,dd,0.9842673059634403,0.016032364399160923,0.04921336529817202,0.0001421464108031272
8693,psychedelic,cognitive ability,2.793991260042413e-05,sd,0.9839676356008391,0.016182199580461493,0.049198381780041954,7.962819166556024e-05
4044,functional class,antidepressant,2.785066714456797e-05,dd,0.9838178004195385,0.016332034761762062,0.04919089002097693,0.0011714969693882747
2322,stimulants,cholinergic plant,2.7312490001677765e-05,dd,0.983667965238238,0.01648186994306263,0.0491833982619119,0.0001381978993919292
4592,maoi,tricyclic antidepressants,2.6337043930189275e-05,dd,0.9834432124662871,0.01678154030566377,0.04917216062331436,0.008064516129032258
3651,opioid,bulking agent,2.6337043930189275e-05,dd,0.9834432124662871,0.01678154030566377,0.04917216062331436,0.00011689526184538653
2675,opioid,maoi,2.605384990943455e-05,dd,0.9832184596943362,0.01693137548696434,0.04916092298471682,0.00011563832354597378
1373,psychedelic,antibiotic/antifungal,2.6034319287313536e-05,dd,0.9830686245130357,0.017081210668264908,0.049153431225651786,7.419728886557521e-05
4152,stimulants,chemical reagent,2.5352081311661872e-05,dd,0.982918789331735,0.017231045849565477,0.049145939466586755,0.00012827846828574894
1495,psychedelic,ergot,2.5329616020291324e-05,dd,0.9827689541504345,0.017380881030866047,0.04913844770752173,7.218889865991153e-05
2749,stimulants,functional class,2.469016821421978e-05,dd,0.9826191189691339,0.017530716212166616,0.049130955948456706,0.00012492926798797737
1546,nsaid,anti-inflammatory,2.431111747402087e-05,dd,0.9824692837878334,0.017680551393467185,0.049123464189391675,0.04326923076923077
1407,stimulants,ssri,2.4074411290138652e-05,dd,0.9823194486065329,0.017830386574767754,0.04911597243032664,0.00012181361235061804
3969,stimulants,sedative,2.4009584234033015e-05,dd,0.9821696134252322,0.017980221756068324,0.04910848067126161,0.00012148559527941687
3481,stimulants,inhalant,2.3878919830038276e-05,dd,0.9819448606532813,0.018279892118669462,0.04909724303266407,0.00012082444918265813
3468,opioid,inhalant,2.3878919830038276e-05,dd,0.9819448606532813,0.018279892118669462,0.04909724303266407,0.00010598503740648379
8815,psychedelic,integumentary,2.3491432287157326e-05,sd,0.9817201078813306,0.01842972729997003,0.04908600539406653,6.695011181358878e-05
2068,cardioactive,sexual enhancement,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.006006006006006006
2418,antidepressant,dopamine agonist,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.022988505747126436
2376,ergot,dopamine agonist,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.010928961748633878
2396,maoi,dopamine agonist,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.007168458781362006
2416,endogenous chemical,dopamine agonist,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.001098297638660077
2261,stimulants,chemical process,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.00011845534233593933
2294,endogenous chemical,chemical process,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.001098297638660077
4733,cannabinoid receptor agonists,nmda antagonist,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.0006600660066006601
2553,opioid,analgesic,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.00010390689941812137
4688,opioid,nmda antagonist,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.00010390689941812137
2114,structural class,sexual enhancement,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.000522875816993464
2111,endogenous chemical,sexual enhancement,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.001098297638660077
2105,psychedelic,sexual enhancement,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,6.672004270082733e-05
2092,functional class,sexual enhancement,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.000984736582964057
4729,antipsychotic,nmda antagonist,2.34107057157238e-05,dd,0.980521426430926,0.020677255019478574,0.04902607132154631,0.008888888888888889
1080,uninterpretable,integumentary,2.3217159591589057e-05,ss,0.9793227449805214,0.020827090200779143,0.04896613724902607,0.00011671087533156499
2227,psychedelic,alcohol,2.314766407846848e-05,dd,0.9791729097992209,0.020976925382079712,0.048958645489961046,6.597037929969444e-05
8632,psychedelic,infectious,2.301724847680407e-05,sd,0.9790230746179203,0.02112676056338028,0.04895115373089602,6.559869744535123e-05
981,uninterpretable,infectious,2.2824738158461547e-05,ss,0.9788732394366197,0.02127659574468085,0.04894366197183099,0.00011473820297349708
2627,stimulants,anticholinergic medicine,2.2416552459302654e-05,dd,0.9787234042553191,0.02142643092598142,0.04893617021276596,0.00011342504697646796
4091,stimulants,structural class,2.23916514669217e-05,dd,0.9785735690740186,0.02157626610728199,0.04892867845370093,0.00011329905096366902
2680,ssri,maoi,2.2277929632704906e-05,dd,0.978423733892718,0.02172610128858256,0.0489211866946359,0.0032701474337656577
1285,stimulants,cardioactive,2.2145262163522515e-05,dd,0.9782738987114175,0.021875936469883128,0.04891369493557088,0.00011205235085832101
8592,opioid,infectious,2.2131969689234683e-05,sd,0.9781240635301168,0.022025771651183697,0.04890620317650585,9.823131247511473e-05
4606,psychedelic,tricyclic antidepressants,2.1947536608491062e-05,dd,0.9779742283488163,0.022175606832484266,0.048898711417440816,6.255004003202562e-05
1056,emotion,integumentary,2.1898002796612405e-05,ss,0.9778243931675157,0.022325442013784835,0.04889121965837579,0.0001078804736342722
1468,stimulants,ergot,2.187557747206978e-05,dd,0.9776745579862152,0.022475277195085405,0.04888372789931076,0.00011068777890407446
1556,psychedelic,anti-inflammatory,2.160988219912966e-05,dd,0.9775247228049146,0.022625112376385974,0.048876236140245735,6.15877317238406e-05
4179,psychedelic,chemical reagent,2.1583528684252674e-05,dd,0.977374887623614,0.022774947557686546,0.048868744381180704,6.151262473393348e-05
3996,psychedelic,sedative,2.123296564914484e-05,dd,0.9772250524423135,0.022924782738987116,0.04886125262211568,6.051352710075036e-05
4776,functional class,vasoactive,2.1181114695178677e-05,dd,0.9770752172610129,0.023074617920287685,0.04885376086305065,0.0008909521464912898
4322,opioid,steroid,2.106963514415142e-05,dd,0.9769253820797124,0.023224453101588254,0.048846269103985616,9.351620947630923e-05
924,emotion,esp,2.0681728540446342e-05,ss,0.9767755468984117,0.023374288282888823,0.04883877734492059,0.00010188850057430595
4017,opioid,antidepressant,2.0585275715550238e-05,dd,0.9766257117171112,0.023524123464189393,0.04883128558585556,9.136641155731361e-05
1023,emotion,behavior,2.013601460163531e-05,ss,0.9764758765358106,0.023673958645489962,0.048823793826790536,9.920004178038956e-05
3590,opioid,antipsychotic,2.0133206915522468e-05,dd,0.9763260413545101,0.02382379382679053,0.048816302067725505,8.935993349958438e-05
1014,uninterpretable,cognitive ability,2.008896817676754e-05,ss,0.9761762061732094,0.0239736290080911,0.04880881030866047,0.00010098569771936606
948,uninterpretable,esp,2.006014653513238e-05,ss,0.9760263709919089,0.02412346418939167,0.04880131854959545,0.00010084081354391547
1047,uninterpretable,behavior,1.9991980162424757e-05,ss,0.9758765358106083,0.02427329937069224,0.048793826790530424,0.00010049814643188138
4484,psychedelic,acetaminophen-containing,1.98865134574428e-05,dd,0.9757267006293078,0.024423134551992808,0.04878633503146539,5.667616530500386e-05
4614,antidepressant,tricyclic antidepressants,1.9752782947641958e-05,dd,0.9755019478573569,0.024722804914593947,0.04877509739286785,0.01939655172413793
2926,anti-inflammatory,nsaid,1.9752782947641958e-05,dd,0.9755019478573569,0.024722804914593947,0.04877509739286785,0.04326923076923077
4043,maoi,antidepressant,1.9374377144047283e-05,dd,0.975277195085406,0.024872640095894516,0.04876385975427031,0.005932517612161661
4545,psychedelic,element,1.9210549690255706e-05,dd,0.9751273599041055,0.025022475277195085,0.04875636799520528,5.474968209862007e-05
3956,opioid,sedative,1.910966908423036e-05,dd,0.974977524722805,0.025172310458495654,0.04874887623614025,8.481702719944326e-05
2907,structural class,chemotherapeutic,1.9021198394025586e-05,dd,0.9748276895415043,0.025322145639796224,0.04874138447707522,0.0004248366013071895
2654,psychedelic,anticholinergic medicine,1.885684241211725e-05,dd,0.9746778543602038,0.025471980821096793,0.04873389271801019,5.374162343573488e-05
1333,opioid,antibiotic/antifungal,1.8768927858295805e-05,dd,0.9745280191789032,0.025621816002397362,0.04872640095894517,8.330466936108006e-05
1434,psychedelic,ssri,1.8463082342813102e-05,dd,0.9743781839976027,0.02577165118369793,0.04871890919988014,5.261941511972465e-05
4518,stimulants,element,1.828100696330785e-05,dd,0.974228348816302,0.0259214863649985,0.04871141744081511,9.249968644174088e-05
2715,psychedelic,maoi,1.8124417328302295e-05,dd,0.9740785136350015,0.02607132154629907,0.048703925681750075,5.165422660709212e-05
990,emotion,cognitive ability,1.8038419590941188e-05,ss,0.9739286784537009,0.02622115672759964,0.048696433922685044,8.886624351813093e-05
1992,structural class,moiety,1.7902304370847613e-05,dd,0.9737788432724004,0.02637099190890021,0.048688942163620026,0.00039984621299500193
4687,vasoactive,antithyroid,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.007936507936507936
2419,structural class,dopamine agonist,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.000392156862745098
2415,cannabinoid receptor agonists,dopamine agonist,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0004950495049504951
3406,vasoactive,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.007936507936507936
2384,moiety,dopamine agonist,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.004901960784313725
4676,structural class,antithyroid,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.000392156862745098
2371,serotonergic,dopamine agonist,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.029411764705882353
3391,cannabinoid receptor agonists,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0004950495049504951
3373,functional class,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0007385524372230428
3387,antipsychotic,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.006666666666666667
4671,metabolite,antithyroid,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.00684931506849315
2886,plant,chemotherapeutic,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.004901960784313725
4674,sedative,antithyroid,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.002325581395348837
4677,chemical reagent,antithyroid,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0024390243902439024
4432,structural class,nootropic,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.000392156862745098
4634,anti-inflammatory,antithyroid,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.03846153846153846
3360,moiety,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.004901960784313725
4673,endogenous chemical,antithyroid,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0008237232289950577
3401,acetaminophen-containing,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0017921146953405018
2579,maoi,analgesic,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.005376344086021505
3707,element,bulking agent,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0014705882352941176
2543,androgen/estrogen,abortifacient,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.1
3351,ssri,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.002577319587628866
2519,functional class,abortifacient,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0007385524372230428
3392,endogenous chemical,hiv medications,1.755802928679285e-05,dd,0.971830985915493,0.030116871441414443,0.04859154929577465,0.0008237232289950577
8788,stimulants,integumentary,1.7436939429642554e-05,sd,0.9698831285585856,0.030266706622715012,0.048494156427929286,8.82288067053893e-05
3847,stimulants,cannabinoid receptor agonists,1.7314650663015523e-05,dd,0.969733293377285,0.03041654180401558,0.048486664668864254,8.761004032172939e-05
1321,structural class,cardioactive,1.708348795471737e-05,dd,0.9695834581959845,0.03056637698531615,0.04847917290979922,0.00038155802861685216
3518,chemical reagent,inhalant,1.6855708115321137e-05,dd,0.9694336230146838,0.03071621216661672,0.04847168115073419,0.0023414634146341463
957,emotion,infectious,1.6716709637183106e-05,ss,0.9692837878333833,0.03086604734791729,0.048464189391669174,8.235484167281688e-05
1922,psychedelic,stimulants,1.6540986367906126e-05,dd,0.9691339526520827,0.031015882529217862,0.04845669763260414,4.714148006393742e-05
1565,structural class,anti-inflammatory,1.6207411649347245e-05,dd,0.9689841174707822,0.03116571771051843,0.04844920587353911,0.0003619909502262443
2200,stimulants,alcohol,1.6177060691202404e-05,dd,0.9688342822894815,0.031315552891819,0.04844171411447408,8.185397251303675e-05
4457,stimulants,acetaminophen-containing,1.5984729171488833e-05,dd,0.968684447108181,0.03146538807311957,0.04843422235540905,8.0880798261636e-05
