,opioid,serotonergic,unclear,cardioactive,antibiotic/antifungal,ssri,ergot,anti-inflammatory,mushrooms,anticoagulant,neurotoxin,misclassified,antacid,stimulants,moiety,snakes,sexual enhancement,salicylate,alcohol,chemical process,cholinergic plant,dopamine agonist,paralytic,abortifacient,analgesic,anticholinergic medicine,maoi,functional class,plant,chemotherapeutic,nsaid,cyanogenic,anesthetic,hepatotoxin,anabolic hormones,antinausea,antihyperglycemic,hiv medications,nonopioid analgesic,inhalant,psychedelic,antipsychotic,bulking agent,serm,metabolite,cannabinoid receptor agonists,endogenous chemical,sedative,antidepressant,structural class,chemical reagent,androgen/estrogen,uncoupler,steroid,nootropic,acetaminophen-containing,element,tricyclic antidepressants,antithyroid,nmda antagonist,vasoactive
written media references,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,1.0,0.0,0.0,0.0,12.0,9.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
chemical process,47.0,3.0,0.0,7.0,4.0,15.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,111.0,11.0,0.0,0.0,0.0,9.0,2.0,1.0,2.0,0.0,0.0,0.0,21.0,10.0,28.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,234.0,3.0,0.0,0.0,4.0,39.0,38.0,7.0,4.0,56.0,15.0,0.0,0.0,3.0,0.0,5.0,21.0,2.0,1.0,0.0,6.0
metabolic,51.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,102.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,19.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,3.0,23.0,25.0,5.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0
hematologic,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
musculoskeletal,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0
place references,22.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,1.0,0.0,0.0,2.0,10.0,13.0,4.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0
property of toxin,426.0,2.0,0.0,25.0,13.0,26.0,12.0,5.0,3.0,0.0,1.0,0.0,0.0,653.0,26.0,1.0,0.0,1.0,57.0,1.0,2.0,2.0,3.0,1.0,2.0,105.0,10.0,183.0,33.0,8.0,4.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,1169.0,19.0,1.0,0.0,15.0,216.0,178.0,56.0,7.0,266.0,34.0,0.0,0.0,1.0,2.0,35.0,47.0,6.0,0.0,1.0,22.0
somatic sensation,61.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,12.0,6.0,3.0,0.0,16.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0
neurologic disorder,355.0,8.0,0.0,19.0,11.0,26.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,617.0,20.0,0.0,0.0,0.0,35.0,0.0,0.0,3.0,0.0,2.0,2.0,66.0,13.0,142.0,19.0,7.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1030.0,24.0,0.0,0.0,10.0,199.0,141.0,41.0,4.0,196.0,24.0,2.0,0.0,4.0,2.0,26.0,39.0,4.0,2.0,1.0,17.0
perception,404.0,5.0,0.0,42.0,13.0,19.0,17.0,5.0,4.0,0.0,1.0,0.0,0.0,724.0,29.0,0.0,1.0,1.0,49.0,1.0,3.0,1.0,0.0,1.0,1.0,90.0,9.0,225.0,28.0,10.0,6.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,6.0,2267.0,12.0,1.0,0.0,16.0,329.0,195.0,56.0,2.0,417.0,44.0,0.0,0.0,1.0,1.0,35.0,54.0,0.0,0.0,2.0,21.0
endocrine,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
sense of self,106.0,0.0,0.0,6.0,0.0,9.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,192.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,8.0,49.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,458.0,1.0,0.0,0.0,5.0,68.0,41.0,12.0,4.0,81.0,7.0,0.0,0.0,3.0,0.0,12.0,19.0,2.0,1.0,0.0,9.0
use of substance,487.0,1.0,0.0,27.0,18.0,22.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,713.0,27.0,0.0,0.0,0.0,45.0,2.0,6.0,3.0,1.0,1.0,1.0,94.0,16.0,171.0,30.0,10.0,4.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,990.0,12.0,1.0,1.0,18.0,193.0,160.0,51.0,7.0,206.0,35.0,0.0,0.0,3.0,1.0,57.0,47.0,2.0,1.0,1.0,21.0
sexual activity,72.0,0.0,0.0,5.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,135.0,6.0,0.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,15.0,4.0,49.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,184.0,4.0,0.0,0.0,4.0,26.0,35.0,6.0,5.0,48.0,6.0,0.0,0.0,2.0,0.0,6.0,10.0,4.0,1.0,1.0,5.0
uninterpretable,1132.0,5.0,0.0,38.0,28.0,52.0,14.0,6.0,9.0,0.0,1.0,0.0,1.0,1464.0,44.0,1.0,2.0,1.0,120.0,3.0,6.0,3.0,1.0,0.0,4.0,145.0,23.0,349.0,51.0,13.0,7.0,0.0,4.0,2.0,2.0,7.0,1.0,1.0,4.0,9.0,2750.0,33.0,0.0,1.0,39.0,518.0,291.0,102.0,11.0,485.0,68.0,0.0,1.0,5.0,4.0,116.0,162.0,6.0,2.0,2.0,28.0
respiratory,28.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,109.0,0.0,0.0,0.0,2.0,29.0,11.0,4.0,5.0,21.0,5.0,0.0,0.0,3.0,0.0,3.0,6.0,3.0,1.0,0.0,6.0
activity references,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esp,115.0,1.0,0.0,7.0,4.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,213.0,9.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,0.0,0.0,2.0,34.0,3.0,68.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.0,5.0,2.0,0.0,9.0,101.0,64.0,17.0,2.0,118.0,21.0,0.0,0.0,2.0,0.0,13.0,18.0,0.0,0.0,1.0,7.0
infectious,75.0,0.0,0.0,7.0,7.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,7.0,0.0,0.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,4.0,39.0,12.0,6.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,78.0,1.0,0.0,0.0,6.0,20.0,27.0,1.0,5.0,29.0,7.0,0.0,0.0,4.0,0.0,2.0,7.0,2.0,1.0,0.0,6.0
cognitive ability,390.0,3.0,0.0,17.0,10.0,23.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,519.0,24.0,0.0,1.0,1.0,56.0,1.0,5.0,3.0,2.0,1.0,1.0,63.0,13.0,148.0,25.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,8.0,950.0,10.0,1.0,0.0,23.0,191.0,134.0,27.0,10.0,176.0,43.0,0.0,0.0,2.0,2.0,45.0,56.0,3.0,1.0,1.0,20.0
behavior,364.0,4.0,0.0,10.0,5.0,18.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,472.0,8.0,0.0,0.0,0.0,49.0,1.0,2.0,1.0,0.0,1.0,2.0,62.0,0.0,118.0,16.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,6.0,1110.0,10.0,0.0,1.0,10.0,183.0,96.0,44.0,3.0,186.0,23.0,0.0,0.0,3.0,2.0,41.0,47.0,1.0,2.0,0.0,11.0
integumentary,64.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,72.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,12.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,97.0,2.0,0.0,0.0,7.0,25.0,14.0,5.0,0.0,22.0,8.0,0.0,0.0,3.0,0.0,4.0,9.0,0.0,1.0,0.0,4.0
