,prior,marginal,conditional_probability,source
335,gastrointestinal,written media references,0.0,ss
336,song references,written media references,0.0,ss
337,cardiovascular,written media references,0.0,ss
338,genitourinary,written media references,0.0,ss
339,oncologic,written media references,0.0,ss
340,written media references,written media references,0.0,ss
341,chemical process,written media references,0.0,ss
342,metabolic,written media references,0.0,ss
343,hematologic,written media references,0.0,ss
344,musculoskeletal,written media references,0.0,ss
345,place references,written media references,0.0,ss
346,property of toxin,written media references,0.0,ss
347,somatic sensation,written media references,0.0,ss
348,neurologic disorder,written media references,0.0,ss
349,perception,written media references,0.0,ss
350,endocrine,written media references,0.0,ss
351,sense of self,written media references,0.0,ss
352,use of substance,written media references,0.0,ss
353,sexual activity,written media references,0.0,ss
354,uninterpretable,written media references,0.0,ss
355,respiratory,written media references,0.0,ss
356,activity references,written media references,0.0,ss
357,renal,written media references,0.0,ss
358,esp,written media references,0.0,ss
359,infectious,written media references,0.0,ss
360,cognitive ability,written media references,0.0,ss
361,behavior,written media references,0.0,ss
362,integumentary,written media references,0.0,ss
363,emotion,chemical process,0.0,ss
364,global nervous system,chemical process,0.0,ss
365,immunologic,chemical process,0.0,ss
366,motor,chemical process,0.0,ss
367,misclassified,chemical process,0.0,ss
368,gastrointestinal,chemical process,0.0,ss
369,song references,chemical process,0.0,ss
370,cardiovascular,chemical process,0.0,ss
371,genitourinary,chemical process,0.0,ss
372,oncologic,chemical process,0.0,ss
373,written media references,chemical process,0.0,ss
374,chemical process,chemical process,0.0,ss
375,metabolic,chemical process,0.0,ss
376,hematologic,chemical process,0.0,ss
377,musculoskeletal,chemical process,0.0,ss
378,place references,chemical process,0.0,ss
379,property of toxin,chemical process,0.0,ss
380,somatic sensation,chemical process,0.0,ss
381,neurologic disorder,chemical process,0.0,ss
382,perception,chemical process,0.0,ss
383,endocrine,chemical process,0.0,ss
384,sense of self,chemical process,0.0,ss
385,use of substance,chemical process,0.0,ss
386,sexual activity,chemical process,0.0,ss
387,uninterpretable,chemical process,0.0,ss
388,respiratory,chemical process,0.0,ss
389,activity references,chemical process,0.0,ss
390,renal,chemical process,0.0,ss
391,esp,chemical process,0.0,ss
392,infectious,chemical process,0.0,ss
393,cognitive ability,chemical process,0.0,ss
394,behavior,chemical process,0.0,ss
395,integumentary,chemical process,0.0,ss
396,emotion,metabolic,0.0,ss
397,global nervous system,metabolic,0.0,ss
398,immunologic,metabolic,0.0,ss
399,motor,metabolic,0.0,ss
400,misclassified,metabolic,0.0,ss
401,gastrointestinal,metabolic,0.0,ss
402,song references,metabolic,0.0,ss
403,cardiovascular,metabolic,0.0,ss
404,genitourinary,metabolic,0.0,ss
405,oncologic,metabolic,0.0,ss
406,written media references,metabolic,0.0,ss
407,chemical process,metabolic,0.0,ss
408,metabolic,metabolic,0.0,ss
409,hematologic,metabolic,0.0,ss
410,musculoskeletal,metabolic,0.0,ss
411,place references,metabolic,0.0,ss
412,property of toxin,metabolic,0.0,ss
413,somatic sensation,metabolic,0.0,ss
414,neurologic disorder,metabolic,0.0,ss
415,perception,metabolic,0.0,ss
416,endocrine,metabolic,0.0,ss
417,sense of self,metabolic,0.0,ss
418,use of substance,metabolic,0.0,ss
419,sexual activity,metabolic,0.0,ss
420,uninterpretable,metabolic,0.0,ss
421,respiratory,metabolic,0.0,ss
422,activity references,metabolic,0.0,ss
423,renal,metabolic,0.0,ss
424,esp,metabolic,0.0,ss
425,infectious,metabolic,0.0,ss
426,cognitive ability,metabolic,0.0,ss
427,behavior,metabolic,0.0,ss
428,integumentary,metabolic,0.0,ss
429,emotion,hematologic,0.0,ss
430,global nervous system,hematologic,0.0,ss
431,immunologic,hematologic,0.0,ss
432,motor,hematologic,0.0,ss
433,misclassified,hematologic,0.0,ss
434,gastrointestinal,hematologic,0.0,ss
435,song references,hematologic,0.0,ss
436,cardiovascular,hematologic,0.0,ss
437,genitourinary,hematologic,0.0,ss
438,oncologic,hematologic,0.0,ss
439,written media references,hematologic,0.0,ss
440,chemical process,hematologic,0.0,ss
441,metabolic,hematologic,0.0,ss
442,hematologic,hematologic,0.0,ss
443,musculoskeletal,hematologic,0.0,ss
444,place references,hematologic,0.0,ss
445,property of toxin,hematologic,0.0,ss
446,somatic sensation,hematologic,0.0,ss
447,neurologic disorder,hematologic,0.0,ss
448,perception,hematologic,0.0,ss
449,endocrine,hematologic,0.0,ss
450,sense of self,hematologic,0.0,ss
451,use of substance,hematologic,0.0,ss
452,sexual activity,hematologic,0.0,ss
453,uninterpretable,hematologic,0.0,ss
454,respiratory,hematologic,0.0,ss
455,activity references,hematologic,0.0,ss
456,renal,hematologic,0.0,ss
457,esp,hematologic,0.0,ss
458,infectious,hematologic,0.0,ss
459,cognitive ability,hematologic,0.0,ss
460,behavior,hematologic,0.0,ss
461,integumentary,hematologic,0.0,ss
462,emotion,musculoskeletal,0.0,ss
463,global nervous system,musculoskeletal,0.0,ss
464,immunologic,musculoskeletal,0.0,ss
465,motor,musculoskeletal,0.0,ss
466,misclassified,musculoskeletal,0.0,ss
467,gastrointestinal,musculoskeletal,0.0,ss
468,song references,musculoskeletal,0.0,ss
469,cardiovascular,musculoskeletal,0.0,ss
470,genitourinary,musculoskeletal,0.0,ss
471,oncologic,musculoskeletal,0.0,ss
472,written media references,musculoskeletal,0.0,ss
473,chemical process,musculoskeletal,0.0,ss
474,metabolic,musculoskeletal,0.0,ss
475,hematologic,musculoskeletal,0.0,ss
476,musculoskeletal,musculoskeletal,0.0,ss
477,place references,musculoskeletal,0.0,ss
478,property of toxin,musculoskeletal,0.0,ss
479,somatic sensation,musculoskeletal,0.0,ss
480,neurologic disorder,musculoskeletal,0.0,ss
481,perception,musculoskeletal,0.0,ss
482,endocrine,musculoskeletal,0.0,ss
483,sense of self,musculoskeletal,0.0,ss
484,use of substance,musculoskeletal,0.0,ss
485,sexual activity,musculoskeletal,0.0,ss
486,uninterpretable,musculoskeletal,0.0,ss
487,respiratory,musculoskeletal,0.0,ss
488,activity references,musculoskeletal,0.0,ss
489,renal,musculoskeletal,0.0,ss
490,esp,musculoskeletal,0.0,ss
491,infectious,musculoskeletal,0.0,ss
492,cognitive ability,musculoskeletal,0.0,ss
493,behavior,musculoskeletal,0.0,ss
494,integumentary,musculoskeletal,0.0,ss
495,emotion,place references,0.0,ss
496,global nervous system,place references,0.0,ss
497,immunologic,place references,0.0,ss
498,motor,place references,0.0,ss
499,misclassified,place references,0.0,ss
500,gastrointestinal,place references,0.0,ss
501,song references,place references,0.0,ss
502,cardiovascular,place references,0.0,ss
503,genitourinary,place references,0.0,ss
504,oncologic,place references,0.0,ss
505,written media references,place references,0.0,ss
506,chemical process,place references,0.0,ss
507,metabolic,place references,0.0,ss
508,hematologic,place references,0.0,ss
509,musculoskeletal,place references,0.0,ss
510,place references,place references,0.0,ss
511,property of toxin,place references,0.0,ss
512,somatic sensation,place references,0.0,ss
513,neurologic disorder,place references,0.0,ss
514,perception,place references,0.0,ss
515,endocrine,place references,0.0,ss
516,sense of self,place references,0.0,ss
517,use of substance,place references,0.0,ss
518,sexual activity,place references,0.0,ss
519,uninterpretable,place references,0.0,ss
520,respiratory,place references,0.0,ss
521,activity references,place references,0.0,ss
522,renal,place references,0.0,ss
523,esp,place references,0.0,ss
524,infectious,place references,0.0,ss
525,cognitive ability,place references,0.0,ss
526,behavior,place references,0.0,ss
527,integumentary,place references,0.0,ss
528,emotion,property of toxin,0.0,ss
529,global nervous system,property of toxin,0.0,ss
530,immunologic,property of toxin,0.0,ss
531,motor,property of toxin,0.0,ss
532,misclassified,property of toxin,0.0,ss
533,gastrointestinal,property of toxin,0.0,ss
534,song references,property of toxin,0.0,ss
535,cardiovascular,property of toxin,0.0,ss
536,genitourinary,property of toxin,0.0,ss
537,oncologic,property of toxin,0.0,ss
538,written media references,property of toxin,0.0,ss
539,chemical process,property of toxin,0.0,ss
540,metabolic,property of toxin,0.0,ss
541,hematologic,property of toxin,0.0,ss
542,musculoskeletal,property of toxin,0.0,ss
543,place references,property of toxin,0.0,ss
544,property of toxin,property of toxin,0.0,ss
545,somatic sensation,property of toxin,0.0,ss
546,neurologic disorder,property of toxin,0.0,ss
547,perception,property of toxin,0.0,ss
548,endocrine,property of toxin,0.0,ss
549,sense of self,property of toxin,0.0,ss
550,use of substance,property of toxin,0.0,ss
551,sexual activity,property of toxin,0.0,ss
552,uninterpretable,property of toxin,0.0,ss
553,respiratory,property of toxin,0.0,ss
554,activity references,property of toxin,0.0,ss
555,renal,property of toxin,0.0,ss
556,esp,property of toxin,0.0,ss
557,infectious,property of toxin,0.0,ss
558,cognitive ability,property of toxin,0.0,ss
559,behavior,property of toxin,0.0,ss
560,integumentary,property of toxin,0.0,ss
561,emotion,somatic sensation,0.0,ss
562,global nervous system,somatic sensation,0.0,ss
563,immunologic,somatic sensation,0.0,ss
564,motor,somatic sensation,0.0,ss
565,misclassified,somatic sensation,0.0,ss
566,gastrointestinal,somatic sensation,0.0,ss
567,song references,somatic sensation,0.0,ss
568,cardiovascular,somatic sensation,0.0,ss
569,genitourinary,somatic sensation,0.0,ss
570,oncologic,somatic sensation,0.0,ss
571,written media references,somatic sensation,0.0,ss
572,chemical process,somatic sensation,0.0,ss
573,metabolic,somatic sensation,0.0,ss
574,hematologic,somatic sensation,0.0,ss
575,musculoskeletal,somatic sensation,0.0,ss
576,place references,somatic sensation,0.0,ss
577,property of toxin,somatic sensation,0.0,ss
578,somatic sensation,somatic sensation,0.0,ss
579,neurologic disorder,somatic sensation,0.0,ss
580,perception,somatic sensation,0.0,ss
581,endocrine,somatic sensation,0.0,ss
582,sense of self,somatic sensation,0.0,ss
583,use of substance,somatic sensation,0.0,ss
584,sexual activity,somatic sensation,0.0,ss
585,uninterpretable,somatic sensation,0.0,ss
586,respiratory,somatic sensation,0.0,ss
587,activity references,somatic sensation,0.0,ss
588,renal,somatic sensation,0.0,ss
589,esp,somatic sensation,0.0,ss
590,infectious,somatic sensation,0.0,ss
591,cognitive ability,somatic sensation,0.0,ss
592,behavior,somatic sensation,0.0,ss
593,integumentary,somatic sensation,0.0,ss
594,emotion,neurologic disorder,0.0,ss
595,global nervous system,neurologic disorder,0.0,ss
596,immunologic,neurologic disorder,0.0,ss
597,motor,neurologic disorder,0.0,ss
598,misclassified,neurologic disorder,0.0,ss
599,gastrointestinal,neurologic disorder,0.0,ss
600,song references,neurologic disorder,0.0,ss
601,cardiovascular,neurologic disorder,0.0,ss
602,genitourinary,neurologic disorder,0.0,ss
603,oncologic,neurologic disorder,0.0,ss
604,written media references,neurologic disorder,0.0,ss
605,chemical process,neurologic disorder,0.0,ss
606,metabolic,neurologic disorder,0.0,ss
607,hematologic,neurologic disorder,0.0,ss
608,musculoskeletal,neurologic disorder,0.0,ss
609,place references,neurologic disorder,0.0,ss
610,property of toxin,neurologic disorder,0.0,ss
611,somatic sensation,neurologic disorder,0.0,ss
612,neurologic disorder,neurologic disorder,0.0,ss
613,perception,neurologic disorder,0.0,ss
614,endocrine,neurologic disorder,0.0,ss
615,sense of self,neurologic disorder,0.0,ss
616,use of substance,neurologic disorder,0.0,ss
617,sexual activity,neurologic disorder,0.0,ss
618,uninterpretable,neurologic disorder,0.0,ss
619,respiratory,neurologic disorder,0.0,ss
620,activity references,neurologic disorder,0.0,ss
621,renal,neurologic disorder,0.0,ss
622,esp,neurologic disorder,0.0,ss
623,infectious,neurologic disorder,0.0,ss
624,cognitive ability,neurologic disorder,0.0,ss
625,behavior,neurologic disorder,0.0,ss
626,integumentary,neurologic disorder,0.0,ss
627,emotion,perception,0.0,ss
628,global nervous system,perception,0.0,ss
629,immunologic,perception,0.0,ss
630,motor,perception,0.0,ss
631,misclassified,perception,0.0,ss
632,gastrointestinal,perception,0.0,ss
633,song references,perception,0.0,ss
634,cardiovascular,perception,0.0,ss
635,genitourinary,perception,0.0,ss
636,oncologic,perception,0.0,ss
637,written media references,perception,0.0,ss
638,chemical process,perception,0.0,ss
639,metabolic,perception,0.0,ss
640,hematologic,perception,0.0,ss
641,musculoskeletal,perception,0.0,ss
642,place references,perception,0.0,ss
643,property of toxin,perception,0.0,ss
644,somatic sensation,perception,0.0,ss
645,neurologic disorder,perception,0.0,ss
646,perception,perception,0.0,ss
647,endocrine,perception,0.0,ss
648,sense of self,perception,0.0,ss
649,use of substance,perception,0.0,ss
650,sexual activity,perception,0.0,ss
651,uninterpretable,perception,0.0,ss
652,respiratory,perception,0.0,ss
653,activity references,perception,0.0,ss
654,renal,perception,0.0,ss
655,esp,perception,0.0,ss
656,infectious,perception,0.0,ss
657,cognitive ability,perception,0.0,ss
658,behavior,perception,0.0,ss
659,integumentary,perception,0.0,ss
660,emotion,endocrine,0.0,ss
661,global nervous system,endocrine,0.0,ss
662,immunologic,endocrine,0.0,ss
663,motor,endocrine,0.0,ss
664,misclassified,endocrine,0.0,ss
665,gastrointestinal,endocrine,0.0,ss
666,song references,endocrine,0.0,ss
667,cardiovascular,endocrine,0.0,ss
668,genitourinary,endocrine,0.0,ss
669,oncologic,endocrine,0.0,ss
670,written media references,endocrine,0.0,ss
671,chemical process,endocrine,0.0,ss
672,metabolic,endocrine,0.0,ss
673,hematologic,endocrine,0.0,ss
674,musculoskeletal,endocrine,0.0,ss
675,place references,endocrine,0.0,ss
676,property of toxin,endocrine,0.0,ss
677,somatic sensation,endocrine,0.0,ss
678,neurologic disorder,endocrine,0.0,ss
679,perception,endocrine,0.0,ss
680,endocrine,endocrine,0.0,ss
681,sense of self,endocrine,0.0,ss
682,use of substance,endocrine,0.0,ss
683,sexual activity,endocrine,0.0,ss
684,uninterpretable,endocrine,0.0,ss
685,respiratory,endocrine,0.0,ss
686,activity references,endocrine,0.0,ss
687,renal,endocrine,0.0,ss
688,esp,endocrine,0.0,ss
689,infectious,endocrine,0.0,ss
690,cognitive ability,endocrine,0.0,ss
691,behavior,endocrine,0.0,ss
692,integumentary,endocrine,0.0,ss
693,emotion,sense of self,0.0,ss
694,global nervous system,sense of self,0.0,ss
695,immunologic,sense of self,0.0,ss
696,motor,sense of self,0.0,ss
697,misclassified,sense of self,0.0,ss
698,gastrointestinal,sense of self,0.0,ss
699,song references,sense of self,0.0,ss
700,cardiovascular,sense of self,0.0,ss
701,genitourinary,sense of self,0.0,ss
702,oncologic,sense of self,0.0,ss
703,written media references,sense of self,0.0,ss
704,chemical process,sense of self,0.0,ss
705,metabolic,sense of self,0.0,ss
706,hematologic,sense of self,0.0,ss
707,musculoskeletal,sense of self,0.0,ss
708,place references,sense of self,0.0,ss
709,property of toxin,sense of self,0.0,ss
710,somatic sensation,sense of self,0.0,ss
711,neurologic disorder,sense of self,0.0,ss
712,perception,sense of self,0.0,ss
713,endocrine,sense of self,0.0,ss
714,sense of self,sense of self,0.0,ss
715,use of substance,sense of self,0.0,ss
716,sexual activity,sense of self,0.0,ss
717,uninterpretable,sense of self,0.0,ss
718,respiratory,sense of self,0.0,ss
