,prior,conditional,conditional_probability
3453,oxycodone,methylphenidate,0.015384615384615384
3457,oxycodone,norepinephrine,0.0034364261168384888
3458,oxycodone,hydroxyl,0.014084507042253518
3467,oxycodone,antidepressant,0.011342155009451795
3482,oxycodone,benzylethylamine,0.038461538461538464
3487,oxycodone,chamomile,0.007782101167315177
3488,oxycodone,MDMA,0.00850970979707615
3490,oxycodone,bufotenin,0.0021321961620469087
3499,oxycodone,epinephrine,0.012121212121212123
3506,oxycodone,phenylpropanolamine,0.014598540145985403
3509,oxycodone,dpt,0.007342143906020558
3514,oxycodone,mdmethcathinone,0.04
3518,oxycodone,benzylpiperazine,0.018018018018018014
3530,oxycodone,dimethylglyoxime,0.038461538461538464
3536,oxycodone,levophacetoperane,0.01694915254237288
3537,oxycodone,nitropropene,0.03333333333333334
3546,oxycodone,anticholinergic,0.020408163265306124
3547,oxycodone,empathogen,0.007575757575757577
3551,oxycodone,venlafaxine,0.007575757575757577
3554,oxycodone,hyoscyamine,0.006711409395973155
3564,oxycodone,quinine,0.01492537313432836
3565,oxycodone,cathinone,0.010256410256410256
3567,oxycodone,dimethyltryptamine,0.003952569169960474
3569,oxycodone,desmethylprodine,0.014492753623188406
3570,oxycodone,thymiquinone,0.01694915254237288
3575,oxycodone,chlorphentermine,0.01694915254237288
3576,oxycodone,furazolidone,0.013888888888888888
3577,oxycodone,dichloromethane,0.013333333333333334
3613,oxycodone,tryptamine,0.002965599051008304
3616,oxycodone,isoniazid,0.04
3629,oxycodone,olanzapine,0.02307692307692308
3632,oxycodone,glycine,0.037037037037037035
3636,oxycodone,ubiquinone,0.04
3637,oxycodone,loperamide,0.025641025641025644
3645,oxycodone,chartreuse,0.025641025641025644
3648,oxycodone,phenethylamine,0.005930318754633061
3659,oxycodone,psychotogen,0.010752688172043013
3662,oxycodone,antiseptic,0.023809523809523808
3671,oxycodone,phenylethylhydrazine,0.01694915254237288
3673,oxycodone,morphinans,0.02597402597402597
3677,oxycodone,benzene,0.0033670033670033677
3678,oxycodone,mephentermine,0.01694915254237288
3679,oxycodone,phenylalanine,0.013157894736842106
3688,oxycodone,benzodiazepine,0.019978969505783387
3695,oxycodone,piperidyl,0.012820512820512822
3696,oxycodone,cordifolia,0.018867924528301886
3697,oxycodone,methamphetamine,0.014955812372535687
3707,oxycodone,z-drug,0.02072538860103627
3712,oxycodone,psychonaut,0.006493506493506493
3714,oxycodone,bronchodilator,0.037037037037037035
3726,oxycodone,phenacetin,0.03333333333333334
3762,oxycodone,benzomorphans,0.01694915254237288
3767,oxycodone,paroxetine,0.011049723756906077
3769,oxycodone,wormwood,0.007952286282306164
3777,oxycodone,igg,0.038461538461538464
3779,oxycodone,other,0.014727540500736375
3792,oxycodone,ammonium,0.009345794392523366
3794,oxycodone,ibogaine,0.019960079840319358
3797,oxycodone,amphetamine,0.011165387299371948
3799,oxycodone,adaptogen,0.006756756756756756
3804,oxycodone,coricidin,0.011152416356877323
3889,carbomethoxytropinone,cocaine,0.0003965107057890563
3890,carbomethoxytropinone,inositol,0.010526315789473684
3961,carbomethoxytropinone,sodium,0.0013774104683195593
4044,carbomethoxytropinone,glucose,0.0033333333333333327
4057,carbomethoxytropinone,methylenedioxyamphetamines,0.038461538461538464
4092,carbomethoxytropinone,norepinephrine,0.0017182130584192444
4312,carbomethoxytropinone,benzene,0.0033670033670033677
4345,carbomethoxytropinone,ecgonine,0.01785714285714286
4427,carbomethoxytropinone,ammonium,0.009345794392523366
4432,carbomethoxytropinone,amphetamine,0.0003489183531053734
4462,methylchloroisothiazalinone,hormone,0.0017889087656529515
4902,methylchloroisothiazalinone,glycine,0.037037037037037035
5097,iodomethane,hormone,0.0017889087656529515
5127,iodomethane,LSD,0.00017593244194229416
5231,iodomethane,sodium,0.0013774104683195593
5518,iodomethane,tryptamine,0.0005931198102016608
5720,tranylcypromine,oxycodone,0.0012944983818770227
5725,tranylcypromine,hypericum,0.012820512820512822
5732,tranylcypromine,hormone,0.0017889087656529515
5734,tranylcypromine,fluoxetine,0.015706806282722512
5735,tranylcypromine,pseudoephedrine,0.0031446540880503146
5743,tranylcypromine,dalcipran,0.024390243902439025
5746,tranylcypromine,phenoperidine,0.01694915254237288
5762,tranylcypromine,LSD,0.00017593244194229416
5767,tranylcypromine,caffeine,0.0006020469596628537
5779,tranylcypromine,diethylpropion,0.016129032258064516
5781,tranylcypromine,phenelzine,0.03791469194312797
5787,tranylcypromine,meperidine,0.009478672985781993
5794,tranylcypromine,cocaine,0.001189532117367169
5795,tranylcypromine,inositol,0.010526315789473684
5799,tranylcypromine,selegiline,0.03361344537815126
5800,tranylcypromine,piperidino,0.01694915254237288
5808,tranylcypromine,chlorpromazine,0.010050251256281407
5811,tranylcypromine,mescaline,0.0004145936981757877
5818,tranylcypromine,opioids,0.0005343307507347048
5825,tranylcypromine,propoxyphene,0.004291845493562232
5826,tranylcypromine,mirtazapine,0.01694915254237288
5828,tranylcypromine,ketobemidone,0.01694915254237288
5835,tranylcypromine,isomorphinans,0.01694915254237288
5836,tranylcypromine,salvia,0.0002685284640171858
5850,tranylcypromine,morphine,0.0011507479861910242
5853,tranylcypromine,minaprine,0.024390243902439025
5855,tranylcypromine,methadone,0.0010928961748633882
5857,tranylcypromine,sertraline,0.023391812865497075
5860,tranylcypromine,anxiolytic,0.004329004329004329
5866,tranylcypromine,sodium,0.0027548209366391185
5880,tranylcypromine,N-Ethyl-3-piperidyl benzilate,0.01694915254237288
5890,tranylcypromine,dextromethorphan,0.005110732538330495
5897,tranylcypromine,nicotine,0.0010193679918450561
5898,tranylcypromine,naloxone,0.004694835680751174
5906,tranylcypromine,benzphetamine,0.016129032258064516
5907,tranylcypromine,phenylalkylamines,0.014084507042253518
5925,tranylcypromine,valproic acid,0.03333333333333334
5927,tranylcypromine,bupropion,0.008333333333333335
5928,tranylcypromine,clortermine,0.01694915254237288
5938,tranylcypromine,ciprofloxacin,0.04
5941,tranylcypromine,fluvoxamine,0.03773584905660377
5945,tranylcypromine,fenfluramine,0.015625
5947,tranylcypromine,ergometrine,0.005154639175257732
5949,tranylcypromine,glucose,0.0033333333333333327
5950,tranylcypromine,aminorex,0.013333333333333334
5951,tranylcypromine,meclizine,0.015625
5953,tranylcypromine,pramipexole,0.024390243902439025
5956,tranylcypromine,serotonin,0.004018081366147665
5957,tranylcypromine,pipradrol,0.015625
5971,tranylcypromine,vinblastine,0.007874015748031496
5972,tranylcypromine,marijuana,0.0009655616350177019
5983,tranylcypromine,pyrovalerone,0.01694915254237288
5991,tranylcypromine,ritonavir,0.03125
5993,tranylcypromine,methylphenidate,0.009230769230769232
5997,tranylcypromine,norepinephrine,0.00859106529209622
5998,tranylcypromine,hydroxyl,0.014084507042253518
6007,tranylcypromine,antidepressant,0.004725897920604915
6024,tranylcypromine,thebaine,0.0033444816053511705
6028,tranylcypromine,MDMA,0.0010909884355225837
6030,tranylcypromine,bufotenin,0.0021321961620469087
6031,tranylcypromine,vardenafil,0.023255813953488372
6039,tranylcypromine,epinephrine,0.0040404040404040395
6046,tranylcypromine,phenylpropanolamine,0.007299270072992701
6076,tranylcypromine,levophacetoperane,0.01694915254237288
6091,tranylcypromine,venlafaxine,0.007575757575757577
6093,tranylcypromine,phentolamine,0.018181818181818184
6107,tranylcypromine,dimethyltryptamine,0.003952569169960474
6109,tranylcypromine,desmethylprodine,0.014492753623188406
6110,tranylcypromine,thymiquinone,0.01694915254237288
6115,tranylcypromine,chlorphentermine,0.01694915254237288
6124,tranylcypromine,buprenorphine,0.0038022813688212928
6131,tranylcypromine,imipramine,0.01666666666666667
6140,tranylcypromine,hydrocodone,0.0016778523489932888
6142,tranylcypromine,hydromorphone,0.002444987775061125
6153,tranylcypromine,tryptamine,0.0011862396204033216
6156,tranylcypromine,isoniazid,0.04
6164,tranylcypromine,cipramil,0.015384615384615384
6177,tranylcypromine,loperamide,0.008547008547008548
6184,tranylcypromine,fentanyl,0.0017152658662092624
6188,tranylcypromine,phenethylamine,0.0014825796886582653
6195,tranylcypromine,adrafinil,0.010416666666666666
6199,tranylcypromine,psychotogen,0.010752688172043013
6211,tranylcypromine,phenylethylhydrazine,0.01694915254237288
6213,tranylcypromine,morphinans,0.012987012987012986
6218,tranylcypromine,mephentermine,0.01694915254237288
6224,tranylcypromine,thioridazine,0.03448275862068965
6228,tranylcypromine,benzodiazepine,0.002103049421661409
6235,tranylcypromine,piperidyl,0.012820512820512822
6237,tranylcypromine,methamphetamine,0.0006798096532970769
6263,tranylcypromine,titanium,0.025641025641025644
6280,tranylcypromine,rolipram,0.024390243902439025
6284,tranylcypromine,thymoanaesthetiser,0.024390243902439025
6302,tranylcypromine,benzomorphans,0.01694915254237288
6307,tranylcypromine,paroxetine,0.022099447513812157
6319,tranylcypromine,other,0.0014727540500736375
6322,tranylcypromine,acetaminophen,0.003861003861003861
6334,tranylcypromine,ibogaine,0.0019960079840319364
6335,tranylcypromine,dihydrocodeine,0.006711409395973155
6337,tranylcypromine,amphetamine,0.0013956734124214935
6990,hypericum,oxycodone,0.0006472491909385112
6994,hypericum,tranylcypromine,0.00546448087431694
7002,hypericum,hormone,0.0017889087656529515
7004,hypericum,fluoxetine,0.005235602094240838
7013,hypericum,dalcipran,0.024390243902439025
7030,hypericum,triterpene,0.01492537313432836
7032,hypericum,LSD,0.00017593244194229416
7051,hypericum,phenelzine,0.0047393364928909965
7064,hypericum,cocaine,0.0003965107057890563
7065,hypericum,inositol,0.010526315789473684
7069,hypericum,selegiline,0.008403361344537815
7078,hypericum,chlorpromazine,0.005025125628140704
7081,hypericum,mescaline,0.0004145936981757877
7088,hypericum,opioids,0.0010686615014694097
7096,hypericum,mirtazapine,0.01694915254237288
7106,hypericum,salvia,0.0002685284640171858
7120,hypericum,morphine,0.0005753739930955121
7123,hypericum,minaprine,0.024390243902439025
7125,hypericum,methadone,0.0010928961748633882
7127,hypericum,sertraline,0.005847953216374269
7130,hypericum,anxiolytic,0.004329004329004329
7155,hypericum,ayahuasca,0.018518518518518517
7167,hypericum,nicotine,0.0010193679918450561
7197,hypericum,bupropion,0.004166666666666668
7211,hypericum,fluvoxamine,0.009433962264150943
7219,hypericum,glucose,0.0033333333333333327
7223,hypericum,pramipexole,0.024390243902439025
7226,hypericum,serotonin,0.0010045203415369162
7242,hypericum,marijuana,0.000643707756678468
7249,hypericum,kavalactones,0.013698630136986302
7263,hypericum,methylphenidate,0.003076923076923077
7267,hypericum,norepinephrine,0.0017182130584192444
7268,hypericum,hydroxyl,0.007042253521126761
7277,hypericum,antidepressant,0.001890359168241966
7298,hypericum,MDMA,0.0004363953742090334
7301,hypericum,vardenafil,0.023255813953488372
7361,hypericum,venlafaxine,0.007575757575757577
7363,hypericum,phentolamine,0.018181818181818184
7364,hypericum,hyoscyamine,0.003355704697986577
7394,hypericum,buprenorphine,0.0038022813688212928
7401,hypericum,imipramine,0.01666666666666667
7410,hypericum,hydrocodone,0.0008389261744966444
7434,hypericum,cipramil,0.015384615384615384
7454,hypericum,fentanyl,0.0017152658662092624
7458,hypericum,phenethylamine,0.0007412898443291327
7465,hypericum,adrafinil,0.010416666666666666
7472,hypericum,antiseptic,0.011904761904761904
7498,hypericum,benzodiazepine,0.002103049421661409
7504,hypericum,isocarboxazid,0.011764705882352941
7550,hypericum,rolipram,0.024390243902439025
7554,hypericum,thymoanaesthetiser,0.024390243902439025
7566,hypericum,percocet,0.0032786885245901644
7577,hypericum,paroxetine,0.0055248618784530384
7579,hypericum,wormwood,0.003976143141153082
7604,hypericum,ibogaine,0.0019960079840319364
7605,hypericum,dihydrocodeine,0.006711409395973155
7607,hypericum,amphetamine,0.0003489183531053734
7609,hypericum,adaptogen,0.013513513513513513
7625,commiphora,oxycodone,0.0006472491909385112
7667,commiphora,LSD,0.00017593244194229416
7672,commiphora,caffeine,0.0006020469596628537
7697,commiphora,piper methysticum,0.0101010101010101
7699,commiphora,cocaine,0.0003965107057890563
7723,commiphora,opioids,0.0005343307507347048
7741,commiphora,salvia,0.0010741138560687433
7802,commiphora,nicotine,0.0010193679918450561
7877,commiphora,marijuana,0.000643707756678468
7932,commiphora,chamomile,0.007782101167315177
7933,commiphora,MDMA,0.0002181976871045167
7954,commiphora,dpt,0.0014684287812041115
7999,commiphora,hyoscyamine,0.003355704697986577
8045,commiphora,hydrocodone,0.0016778523489932888
8141,commiphora,cordifolia,0.018867924528301886
8158,commiphora,myrtifolia,0.024390243902439025
8194,commiphora,tetrahydroisoquinoline,0.037037037037037035
8214,commiphora,wormwood,0.003976143141153082
8224,commiphora,other,0.0014727540500736375
8302,aromadendrene,LSD,0.00017593244194229416
8332,aromadendrene,piper methysticum,0.0101010101010101
8351,aromadendrene,mescaline,0.0004145936981757877
8568,aromadendrene,MDMA,0.0002181976871045167
8596,aromadendrene,myristicin,0.007042253521126761
8757,aromadendrene,benzene,0.0033670033670033677
8877,aromadendrene,amphetamine,0.0003489183531053734
8907,norethrindrone,hormone,0.0017889087656529515
9347,norethrindrone,glycine,0.037037037037037035
9551,hydroxyethylamide,elymoclavine,0.023255813953488372
9572,hydroxyethylamide,LSD,0.0003518648838845883
9577,hydroxyethylamide,caffeine,0.0006020469596628537
9602,hydroxyethylamide,piper methysticum,0.0101010101010101
9628,hydroxyethylamide,opioids,0.0002671653753673524
9707,hydroxyethylamide,nicotine,0.0005096839959225281
9731,hydroxyethylamide,chlorine,0.0045662100456621
9757,hydroxyethylamide,ergometrine,0.005154639175257732
9758,hydroxyethylamide,methylcarbinolamide,0.037037037037037035
9766,hydroxyethylamide,serotonin,0.0005022601707684581
9782,hydroxyethylamide,marijuana,0.000321853878339234
9838,hydroxyethylamide,MDMA,0.0002181976871045167
9840,hydroxyethylamide,bufotenin,0.0021321961620469087
9927,hydroxyethylamide,dichloromethane,0.013333333333333334
10033,hydroxyethylamide,lysergamides,0.022222222222222227
10180,guanfacine,pseudoephedrine,0.0031446540880503146
10335,guanfacine,dextromethorphan,0.0034071550255536627
10417,guanfacine,marijuana,0.000321853878339234
10767,guanfacine,acetaminophen,0.0019305019305019305
10789,guanfacine,coricidin,0.0037174721189591076
10874,mercaptoethyl,cocaine,0.0003965107057890563
10875,mercaptoethyl,inositol,0.010526315789473684
11435,hormone,oxycodone,0.002588996763754045
11439,hormone,tranylcypromine,0.00546448087431694
11441,hormone,hypericum,0.012820512820512822
11449,hormone,fluoxetine,0.005235602094240838
11455,hormone,benzoylecgonine,0.016393442622950817
11458,hormone,dalcipran,0.024390243902439025
11475,hormone,triterpene,0.01492537313432836
11476,hormone,kratom,0.03225806451612903
11477,hormone,LSD,0.0038705137227304713
11481,hormone,barbiturate,0.023529411764705882
11482,hormone,caffeine,0.007826610475617099
11496,hormone,phenelzine,0.0047393364928909965
11498,hormone,coriamyrtine,0.014705882352941175
11499,hormone,insulin,0.01886792452830189
11505,hormone,pseudotutine,0.014705882352941175
11509,hormone,cocaine,0.0055511498810467885
11510,hormone,inositol,0.010526315789473684
11514,hormone,selegiline,0.008403361344537815
11523,hormone,chlorpromazine,0.005025125628140704
11526,hormone,mescaline,0.0041459369817578775
11528,hormone,psilocybin,0.010638297872340424
11533,hormone,opioids,0.005076142131979695
11541,hormone,mirtazapine,0.01694915254237288
11551,hormone,salvia,0.0034908700322234154
11561,hormone,pyridine,0.0075187969924812035
11565,hormone,morphine,0.0023014959723820483
11568,hormone,minaprine,0.024390243902439025
11570,hormone,methadone,0.003278688524590164
11572,hormone,sertraline,0.005847953216374269
11575,hormone,anxiolytic,0.012987012987012988
11581,hormone,sodium,0.012396694214876032
11583,hormone,selenium,0.03448275862068965
11605,hormone,dextromethorphan,0.0017035775127768314
11612,hormone,nicotine,0.004587155963302753
11613,hormone,naloxone,0.004694835680751174
11636,hormone,chlorine,0.0091324200913242
11642,hormone,bupropion,0.008333333333333335
11644,hormone,zygophyllaceae,0.021505376344086027
11656,hormone,fluvoxamine,0.009433962264150943
11662,hormone,ergometrine,0.005154639175257732
11664,hormone,glucose,0.013333333333333334
11668,hormone,pramipexole,0.024390243902439025
11670,hormone,solanum,0.01666666666666667
11671,hormone,serotonin,0.012054244098442994
11678,hormone,scopalamine,0.00516795865633075
11686,hormone,vinblastine,0.007874015748031496
11687,hormone,marijuana,0.006758931445123914
11696,hormone,mephedrone,0.00796812749003984
11700,hormone,reserpate,0.014705882352941175
11702,hormone,bromocriptine,0.027027027027027025
11708,hormone,methylphenidate,0.006153846153846155
11712,hormone,norepinephrine,0.01718213058419244
11713,hormone,hydroxyl,0.007042253521126761
11722,hormone,antidepressant,0.008506616257088848
11729,hormone,lasiantha,0.027777777777777776
11742,hormone,chamomile,0.015564202334630354
11743,hormone,MDMA,0.005018546803403885
11745,hormone,bufotenin,0.010660980810234541
11746,hormone,vardenafil,0.023255813953488372
11748,hormone,entheogen,0.023809523809523808
11754,hormone,epinephrine,0.008080808080808079
11762,hormone,THC,0.03448275862068965
11771,hormone,myristicin,0.02112676056338028
11779,hormone,entactogen,0.018518518518518517
11806,hormone,venlafaxine,0.007575757575757577
11808,hormone,phentolamine,0.018181818181818184
11809,hormone,hyoscyamine,0.006711409395973155
11820,hormone,cathinone,0.005128205128205128
11822,hormone,dimethyltryptamine,0.007905138339920948
11826,hormone,methoxyamphetamine,0.014705882352941175
11832,hormone,dichloromethane,0.013333333333333334
11839,hormone,buprenorphine,0.0038022813688212928
11846,hormone,imipramine,0.01666666666666667
11855,hormone,hydrocodone,0.0025167785234899327
11857,hormone,hydromorphone,0.004889975550122249
11868,hormone,tryptamine,0.00830367734282325
11879,hormone,cipramil,0.015384615384615384
11887,hormone,glycine,0.037037037037037035
11891,hormone,ubiquinone,0.04
11899,hormone,fentanyl,0.003430531732418525
11902,hormone,periwinkle,0.012820512820512822
11903,hormone,phenethylamine,0.003706449221645664
11910,hormone,adrafinil,0.02083333333333333
11914,hormone,psychotogen,0.010752688172043013
11917,hormone,antiseptic,0.03571428571428571
11932,hormone,benzene,0.0067340067340067354
11934,hormone,phenylalanine,0.03947368421052632
11943,hormone,benzodiazepine,0.006309148264984228
11949,hormone,isocarboxazid,0.011764705882352941
11952,hormone,methamphetamine,0.004758667573079536
11962,hormone,z-drug,0.0051813471502590676
11965,hormone,ecgonine,0.01785714285714286
11967,hormone,psychonaut,0.0032467532467532465
11969,hormone,bronchodilator,0.037037037037037035
11973,hormone,norhyoscyamine,0.010989010989010988
11995,hormone,rolipram,0.024390243902439025
11999,hormone,thymoanaesthetiser,0.024390243902439025
12011,hormone,percocet,0.0032786885245901644
12022,hormone,paroxetine,0.011049723756906077
12024,hormone,wormwood,0.009940357852882704
12034,hormone,other,0.01325478645066274
12037,hormone,acetaminophen,0.0019305019305019305
12049,hormone,ibogaine,0.0019960079840319364
12052,hormone,amphetamine,0.006280530355896721
12054,hormone,adaptogen,0.006756756756756756
12059,hormone,coricidin,0.0037174721189591076
12110,methylecgonidine,triterpene,0.01492537313432836
12117,methylecgonidine,caffeine,0.0006020469596628537
12142,methylecgonidine,piper methysticum,0.0101010101010101
12144,methylecgonidine,cocaine,0.0003965107057890563
12186,methylecgonidine,salvia,0.0002685284640171858
12188,methylecgonidine,choline,0.006896551724137932
12205,methylecgonidine,methadone,0.0010928961748633882
12216,methylecgonidine,sodium,0.0013774104683195593
12299,methylecgonidine,glucose,0.0033333333333333327
12306,methylecgonidine,serotonin,0.0005022601707684581
12313,methylecgonidine,scopalamine,0.002583979328165375
12327,methylecgonidine,isopteropodine,0.027777777777777776
12357,methylecgonidine,antidepressant,0.000945179584120983
12380,methylecgonidine,bufotenin,0.0021321961620469087
12444,methylecgonidine,hyoscyamine,0.003355704697986577
12503,methylecgonidine,tryptamine,0.0005931198102016608
12558,methylecgonidine,methylxanthines,0.022222222222222227
12603,methylecgonidine,myrtifolia,0.024390243902439025
12689,methylecgonidine,adaptogen,0.006756756756756756
12705,fluoxetine,oxycodone,0.0006472491909385112
12709,fluoxetine,tranylcypromine,0.016393442622950817
12711,fluoxetine,hypericum,0.012820512820512822
12718,fluoxetine,hormone,0.0017889087656529515
12720,fluoxetine,pseudoephedrine,0.006289308176100629
12728,fluoxetine,dalcipran,0.024390243902439025
12747,fluoxetine,LSD,0.0008796622097114707
12752,fluoxetine,caffeine,0.0012040939193257074
12766,fluoxetine,phenelzine,0.014218009478672987
12772,fluoxetine,meperidine,0.0047393364928909965
12779,fluoxetine,cocaine,0.001189532117367169
12780,fluoxetine,inositol,0.010526315789473684
12784,fluoxetine,selegiline,0.008403361344537815
12793,fluoxetine,chlorpromazine,0.010050251256281407
12796,fluoxetine,mescaline,0.001658374792703151
12803,fluoxetine,opioids,0.0010686615014694097
12811,fluoxetine,mirtazapine,0.01694915254237288
12823,fluoxetine,choline,0.006896551724137932
12834,fluoxetine,laudanum,0.009433962264150943
12835,fluoxetine,morphine,0.0005753739930955121
12838,fluoxetine,minaprine,0.024390243902439025
12845,fluoxetine,anxiolytic,0.008658008658008658
12875,fluoxetine,dextromethorphan,0.005110732538330495
12878,fluoxetine,dimenhydrinate,0.008849557522123894
12882,fluoxetine,nicotine,0.0005096839959225281
12910,fluoxetine,valproic acid,0.03333333333333334
12912,fluoxetine,bupropion,0.012500000000000002
12921,fluoxetine,propranolol,0.03125
12934,fluoxetine,glucose,0.0033333333333333327
12938,fluoxetine,pramipexole,0.024390243902439025
12941,fluoxetine,serotonin,0.007031642390758413
12957,fluoxetine,marijuana,0.000643707756678468
12978,fluoxetine,methylphenidate,0.006153846153846155
12982,fluoxetine,norepinephrine,0.010309278350515464
12983,fluoxetine,hydroxyl,0.007042253521126761
12992,fluoxetine,antidepressant,0.011342155009451795
13013,fluoxetine,MDMA,0.002400174558149684
13016,fluoxetine,vardenafil,0.023255813953488372
13034,fluoxetine,dpt,0.0014684287812041115
13076,fluoxetine,venlafaxine,0.030303030303030307
13078,fluoxetine,phentolamine,0.018181818181818184
13092,fluoxetine,dimethyltryptamine,0.003952569169960474
13101,fluoxetine,furazolidone,0.027777777777777776
13109,fluoxetine,buprenorphine,0.0038022813688212928
13116,fluoxetine,imipramine,0.01666666666666667
13125,fluoxetine,hydrocodone,0.0008389261744966444
13127,fluoxetine,hydromorphone,0.002444987775061125
13138,fluoxetine,tryptamine,0.0011862396204033216
13149,fluoxetine,cipramil,0.030769230769230767
13154,fluoxetine,olanzapine,0.007692307692307692
13173,fluoxetine,phenethylamine,0.0014825796886582653
13178,fluoxetine,diphenhydramine,0.015151515151515154
13180,fluoxetine,adrafinil,0.010416666666666666
13213,fluoxetine,benzodiazepine,0.005257623554153523
13219,fluoxetine,isocarboxazid,0.035294117647058816
